user_id,month,player_value
user_1,2024-01,34.99
user_1,2024-02,8698.71
user_1,2024-03,82.14
user_1,2024-04,177.43
user_1,2024-05,38.62
user_1,2024-06,12.65
user_1,2024-07,54.69
user_1,2024-08,10286.02
user_1,2024-09,902.07
user_1,2024-10,34.1
user_1,2024-11,385.01
user_1,2024-12,6.86
user_2,2024-01,56.65
user_2,2024-02,27.25
user_2,2024-03,3831.39
user_2,2024-04,73.31
user_2,2024-05,11.17
user_2,2024-06,66.63
user_2,2024-07,476.08
user_2,2024-08,12.31
user_2,2024-09,45.01
user_2,2024-10,24.16
user_2,2024-11,4.37
user_2,2024-12,27.37
user_3,2024-01,3.76
user_3,2024-02,74.02
user_3,2024-03,96.3
user_3,2024-04,146.37
user_3,2024-05,14.05
user_3,2024-06,13.1
user_3,2024-07,640.77
user_3,2024-08,303.83
user_3,2024-09,5224.94
user_3,2024-10,938.66
user_3,2024-11,2185.74
user_3,2024-12,1005.89
user_4,2024-01,303.91
user_4,2024-02,13.96
user_4,2024-03,104.96
user_4,2024-04,169.78
user_4,2024-05,212.43
user_4,2024-06,277.79
user_4,2024-07,722.27
user_4,2024-08,29.3
user_4,2024-09,12.0
user_4,2024-10,11.44
user_4,2024-11,1015.06
user_4,2024-12,200.92
user_5,2024-01,866.82
user_5,2024-02,6.23
user_5,2024-03,14.58
user_5,2024-04,35.28
user_5,2024-05,99.49
user_5,2024-06,1040.2
user_5,2024-07,2.76
user_5,2024-08,27.83
user_5,2024-09,176.7
user_5,2024-10,144.77
user_5,2024-11,10.49
user_5,2024-12,147.32
user_6,2024-01,11.35
user_6,2024-02,44.79
user_6,2024-03,10.47
user_6,2024-04,2.34
user_6,2024-05,1.2
user_6,2024-06,64.82
user_6,2024-07,8.14
user_6,2024-08,44.34
user_6,2024-09,1531.51
user_6,2024-10,4.99
user_6,2024-11,603.52
user_6,2024-12,50.88
user_7,2024-01,71.4
user_7,2024-02,421.11
user_7,2024-03,29.16
user_7,2024-04,1277.35
user_7,2024-05,33.69
user_7,2024-06,44.07
user_7,2024-07,30.32
user_7,2024-08,6.03
user_7,2024-09,7.59
user_7,2024-10,417.23
user_7,2024-11,761.39
user_7,2024-12,131.89
user_8,2024-01,50.58
user_8,2024-02,66.93
user_8,2024-03,118.42
user_8,2024-04,33.49
user_8,2024-05,184.04
user_8,2024-06,93.24
user_8,2024-07,209.2
user_8,2024-08,10.32
user_8,2024-09,27.55
user_8,2024-10,0.33
user_8,2024-11,293.25
user_8,2024-12,15.67
user_9,2024-01,30.7
user_9,2024-02,148.8
user_9,2024-03,5.17
user_9,2024-04,1418.72
user_9,2024-05,31.96
user_9,2024-06,45.3
user_9,2024-07,9.37
user_9,2024-08,18.78
user_9,2024-09,2625.82
user_9,2024-10,131.3
user_9,2024-11,232.84
user_9,2024-12,788.93
user_10,2024-01,15.72
user_10,2024-02,4.99
user_10,2024-03,426.18
user_10,2024-04,321.41
user_10,2024-05,261.78
user_10,2024-06,32.86
user_10,2024-07,383.51
user_10,2024-08,12.25
user_10,2024-09,785.2
user_10,2024-10,10.12
user_10,2024-11,2324.08
user_10,2024-12,53.83
user_11,2024-01,14.2
user_11,2024-02,835.55
user_11,2024-03,302.01
user_11,2024-04,134.16
user_11,2024-05,1491.48
user_11,2024-06,5.3
user_11,2024-07,628.21
user_11,2024-08,586.76
user_11,2024-09,40.82
user_11,2024-10,13.76
user_11,2024-11,29.29
user_11,2024-12,62.09
user_12,2024-01,5.4
user_12,2024-02,107.71
user_12,2024-03,87.4
user_12,2024-04,16.18
user_12,2024-05,63.62
user_12,2024-06,2.23
user_12,2024-07,8.18
user_12,2024-08,1731.51
user_12,2024-09,113.91
user_12,2024-10,9.12
user_12,2024-11,46.99
user_12,2024-12,115.15
user_13,2024-01,16.98
user_13,2024-02,1007.37
user_13,2024-03,79.75
user_13,2024-04,39.68
user_13,2024-05,378.04
user_13,2024-06,59.41
user_13,2024-07,110.13
user_13,2024-08,126.72
user_13,2024-09,38.42
user_13,2024-10,84.14
user_13,2024-11,66.01
user_13,2024-12,9.82
user_14,2024-01,15.66
user_14,2024-02,32.13
user_14,2024-03,317.05
user_14,2024-04,1.15
user_14,2024-05,8.6
user_14,2024-06,422.08
user_14,2024-07,350.72
user_14,2024-08,355.82
user_14,2024-09,4.73
user_14,2024-10,351.72
user_14,2024-11,5.77
user_14,2024-12,73.19
user_15,2024-01,251.49
user_15,2024-02,33.2
user_15,2024-03,4.04
user_15,2024-04,8.77
user_15,2024-05,1174.69
user_15,2024-06,43027.61
user_15,2024-07,16.23
user_15,2024-08,1948.63
user_15,2024-09,10.65
user_15,2024-10,18.97
user_15,2024-11,150.42
user_15,2024-12,21.15
user_16,2024-01,544.38
user_16,2024-02,916.9
user_16,2024-03,753.3
user_16,2024-04,2.61
user_16,2024-05,17.57
user_16,2024-06,106.67
user_16,2024-07,5.25
user_16,2024-08,6.26
user_16,2024-09,14.21
user_16,2024-10,17.81
user_16,2024-11,41.35
user_16,2024-12,129.66
user_17,2024-01,2942.61
user_17,2024-02,16.65
user_17,2024-03,135.7
user_17,2024-04,1047.31
user_17,2024-05,13.98
user_17,2024-06,6991.4
user_17,2024-07,233.93
user_17,2024-08,45.53
user_17,2024-09,59.01
user_17,2024-10,51.84
user_17,2024-11,31.4
user_17,2024-12,15.73
user_18,2024-01,135.05
user_18,2024-02,2.68
user_18,2024-03,86.41
user_18,2024-04,52.24
user_18,2024-05,61.45
user_18,2024-06,31.91
user_18,2024-07,53.2
user_18,2024-08,23.08
user_18,2024-09,2272.66
user_18,2024-10,21.12
user_18,2024-11,1291.45
user_18,2024-12,13.21
user_19,2024-01,65.55
user_19,2024-02,2.84
user_19,2024-03,43.94
user_19,2024-04,17.88
user_19,2024-05,261.53
user_19,2024-06,134.91
user_19,2024-07,1.44
user_19,2024-08,220.77
user_19,2024-09,13.94
user_19,2024-10,1.5
user_19,2024-11,1272.45
user_19,2024-12,17.11
user_20,2024-01,10.34
user_20,2024-02,158.55
user_20,2024-03,3.43
user_20,2024-04,80.27
user_20,2024-05,83.9
user_20,2024-06,0.92
user_20,2024-07,46.46
user_20,2024-08,1.67
user_20,2024-09,521.19
user_20,2024-10,141.24
user_20,2024-11,139.98
user_20,2024-12,1574.77
user_21,2024-01,23.81
user_21,2024-02,583.46
user_21,2024-03,2.35
user_21,2024-04,31.8
user_21,2024-05,2574.54
user_21,2024-06,0.93
user_21,2024-07,390.35
user_21,2024-08,77.32
user_21,2024-09,100.23
user_21,2024-10,202.03
user_21,2024-11,1.85
user_21,2024-12,1853.81
user_22,2024-01,155.83
user_22,2024-02,140.0
user_22,2024-03,4.37
user_22,2024-04,8.88
user_22,2024-05,19.92
user_22,2024-06,37.77
user_22,2024-07,285.87
user_22,2024-08,115.31
user_22,2024-09,302.39
user_22,2024-10,645.41
user_22,2024-11,765.14
user_22,2024-12,38.26
user_23,2024-01,37.53
user_23,2024-02,4.59
user_23,2024-03,147.3
user_23,2024-04,30.7
user_23,2024-05,7.66
user_23,2024-06,1022.9
user_23,2024-07,50.56
user_23,2024-08,9.12
user_23,2024-09,20.15
user_23,2024-10,19.94
user_23,2024-11,12.82
user_23,2024-12,222.69
user_24,2024-01,167.96
user_24,2024-02,9.89
user_24,2024-03,611.95
user_24,2024-04,80.58
user_24,2024-05,58.17
user_24,2024-06,169.94
user_24,2024-07,167.18
user_24,2024-08,246.1
user_24,2024-09,318.35
user_24,2024-10,5.61
user_24,2024-11,64.74
user_24,2024-12,2.03
user_25,2024-01,14.13
user_25,2024-02,242.02
user_25,2024-03,49.7
user_25,2024-04,4.77
user_25,2024-05,2.14
user_25,2024-06,79.34
user_25,2024-07,77.31
user_25,2024-08,89.28
user_25,2024-09,0.69
user_25,2024-10,0.76
user_25,2024-11,175.84
user_25,2024-12,4.15
user_26,2024-01,1296.19
user_26,2024-02,51.22
user_26,2024-03,23.71
user_26,2024-04,912.26
user_26,2024-05,41.96
user_26,2024-06,159.21
user_26,2024-07,273.08
user_26,2024-08,18.47
user_26,2024-09,805.68
user_26,2024-10,35.44
user_26,2024-11,32.25
user_26,2024-12,22.85
user_27,2024-01,60.13
user_27,2024-02,36.0
user_27,2024-03,74.86
user_27,2024-04,114.46
user_27,2024-05,43.09
user_27,2024-06,3750.26
user_27,2024-07,748.54
user_27,2024-08,701.06
user_27,2024-09,1981.42
user_27,2024-10,163.42
user_27,2024-11,13.05
user_27,2024-12,2716.6
user_28,2024-01,403.75
user_28,2024-02,241.75
user_28,2024-03,32.99
user_28,2024-04,32.33
user_28,2024-05,6.42
user_28,2024-06,8.84
user_28,2024-07,369.63
user_28,2024-08,1.25
user_28,2024-09,1.95
user_28,2024-10,29.07
user_28,2024-11,29.51
user_28,2024-12,82.53
user_29,2024-01,4.48
user_29,2024-02,10.63
user_29,2024-03,170.29
user_29,2024-04,48.95
user_29,2024-05,7769.12
user_29,2024-06,6.28
user_29,2024-07,5.07
user_29,2024-08,436.82
user_29,2024-09,516.05
user_29,2024-10,70.72
user_29,2024-11,1498.54
user_29,2024-12,57.79
user_30,2024-01,1.26
user_30,2024-02,6931.37
user_30,2024-03,330.14
user_30,2024-04,78.69
user_30,2024-05,13.31
user_30,2024-06,4.53
user_30,2024-07,13.99
user_30,2024-08,140.12
user_30,2024-09,127.4
user_30,2024-10,9.6
user_30,2024-11,150.4
user_30,2024-12,42.87
user_31,2024-01,89.45
user_31,2024-02,109.77
user_31,2024-03,2466.46
user_31,2024-04,44.67
user_31,2024-05,7.89
user_31,2024-06,716.31
user_31,2024-07,46.03
user_31,2024-08,195.25
user_31,2024-09,7.7
user_31,2024-10,2496.52
user_31,2024-11,17.14
user_31,2024-12,9.63
user_32,2024-01,263.73
user_32,2024-02,62.0
user_32,2024-03,105.68
user_32,2024-04,317.81
user_32,2024-05,137.01
user_32,2024-06,330.71
user_32,2024-07,63.07
user_32,2024-08,84.34
user_32,2024-09,538.71
user_32,2024-10,105.98
user_32,2024-11,311.94
user_32,2024-12,45.38
user_33,2024-01,463.81
user_33,2024-02,1692.76
user_33,2024-03,767.92
user_33,2024-04,130.36
user_33,2024-05,113.02
user_33,2024-06,191.17
user_33,2024-07,31.26
user_33,2024-08,3.53
user_33,2024-09,380.99
user_33,2024-10,5.93
user_33,2024-11,655.7
user_33,2024-12,20.02
user_34,2024-01,23.25
user_34,2024-02,22.93
user_34,2024-03,16.52
user_34,2024-04,44.66
user_34,2024-05,74.32
user_34,2024-06,31.63
user_34,2024-07,1424.94
user_34,2024-08,1699.78
user_34,2024-09,85.59
user_34,2024-10,1.57
user_34,2024-11,21.84
user_34,2024-12,432.07
user_35,2024-01,442.06
user_35,2024-02,25.87
user_35,2024-03,171.41
user_35,2024-04,16.03
user_35,2024-05,4.06
user_35,2024-06,71.23
user_35,2024-07,794.3
user_35,2024-08,236.04
user_35,2024-09,322.98
user_35,2024-10,30.5
user_35,2024-11,5.84
user_35,2024-12,857.05
user_36,2024-01,8.29
user_36,2024-02,34.44
user_36,2024-03,243.9
user_36,2024-04,156.5
user_36,2024-05,1.74
user_36,2024-06,60.22
user_36,2024-07,2.44
user_36,2024-08,193.16
user_36,2024-09,38.87
user_36,2024-10,43.46
user_36,2024-11,135.47
user_36,2024-12,3.56
user_37,2024-01,1180.54
user_37,2024-02,11.89
user_37,2024-03,210.72
user_37,2024-04,131.92
user_37,2024-05,11.01
user_37,2024-06,73.05
user_37,2024-07,94.96
user_37,2024-08,1019.33
user_37,2024-09,6964.23
user_37,2024-10,2.35
user_37,2024-11,29.64
user_37,2024-12,14.66
user_38,2024-01,5.19
user_38,2024-02,161.22
user_38,2024-03,33.66
user_38,2024-04,4.35
user_38,2024-05,204.85
user_38,2024-06,2056.66
user_38,2024-07,1026.23
user_38,2024-08,111.56
user_38,2024-09,23.22
user_38,2024-10,40.35
user_38,2024-11,18.58
user_38,2024-12,535.75
user_39,2024-01,376.24
